TimeStamp,srcIp,dstIp,srcPort,dstPort,result
2023-07-07 19:32:08.109700,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,53522,53,BENIGN
2023-07-07 19:32:08.109888,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,56437,53,BENIGN
2023-07-07 19:32:08.135034,2401:4900:598e:e314::a0,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,53,53522,BENIGN
2023-07-07 19:32:08.138748,8.8.8.8,192.168.43.77,53,50084,BENIGN
2023-07-07 19:32:08.139753,2401:4900:598e:e314::a0,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,53,56437,BENIGN
2023-07-07 19:32:08.147158,8.8.8.8,192.168.43.77,53,49745,BENIGN
2023-07-07 19:32:08.155074,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2606:4700:8391:4205:c839:60b:6812:853b,59902,443,BENIGN
2023-07-07 19:32:08.166939,192.168.43.77,8.8.8.8,56584,53,BENIGN
2023-07-07 19:32:08.167021,192.168.43.77,8.8.8.8,33991,53,BENIGN
2023-07-07 19:32:08.167090,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,53836,53,BENIGN
2023-07-07 19:32:08.167137,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,44749,53,BENIGN
2023-07-07 19:32:08.168495,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2606:4700:8391:6aac:3539:1:9cb4:be57,47747,443,BENIGN
2023-07-07 19:32:08.192846,2401:4900:598e:e314::a0,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,53,53836,BENIGN
2023-07-07 19:32:08.192846,2401:4900:598e:e314::a0,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,53,44749,BENIGN
2023-07-07 19:32:08.194553,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2404:6800:4002:815::2003,44184,80,BENIGN
2023-07-07 19:32:08.194592,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2404:6800:4002:815::2003,44186,80,BENIGN
2023-07-07 19:32:08.224487,2606:4700:8391:4205:c839:60b:6812:853b,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,59902,BENIGN
2023-07-07 19:32:08.241236,2404:6800:4002:815::2003,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,80,44184,BENIGN
2023-07-07 19:32:08.243758,2404:6800:4002:815::2003,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,80,44186,BENIGN
2023-07-07 19:32:08.288900,8.8.8.8,192.168.43.77,53,56584,BENIGN
2023-07-07 19:32:08.316849,8.8.8.8,192.168.43.77,53,33991,BENIGN
2023-07-07 19:32:08.469398,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2606:4700:8391:6aac:3539:1:9cb4:be57,443,59902,BENIGN
2023-07-07 19:32:08.544574,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2404:6800:4002:814::2008,47480,443,BENIGN
2023-07-07 19:32:08.844105,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2404:6800:4002:814::2008,443,47638,BENIGN
2023-07-07 19:32:09.070276,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2606:4700:8391:6aac:3539:1:9cb4:be57,47638,443,BENIGN
2023-07-07 19:32:09.119273,192.168.43.77,8.8.8.8,45762,53,BENIGN
2023-07-07 19:32:09.119336,192.168.43.77,8.8.8.8,47061,53,BENIGN
2023-07-07 19:32:09.119393,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,58522,53,BENIGN
2023-07-07 19:32:09.119432,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,46137,53,BENIGN
2023-07-07 19:32:09.131144,192.168.43.77,8.8.8.8,60019,53,BENIGN
2023-07-07 19:32:09.131194,192.168.43.77,8.8.8.8,54264,53,BENIGN
2023-07-07 19:32:09.131241,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,35029,53,BENIGN
2023-07-07 19:32:09.131267,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,48231,53,BENIGN
2023-07-07 19:32:09.131667,2606:4700:8391:6aac:3539:1:9cb4:be57,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,47747,BENIGN
2023-07-07 19:32:09.141503,192.168.43.77,8.8.8.8,50185,53,BENIGN
2023-07-07 19:32:09.141560,192.168.43.77,8.8.8.8,36089,53,BENIGN
2023-07-07 19:32:09.141606,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,42123,53,BENIGN
2023-07-07 19:32:09.141632,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,36472,53,BENIGN
2023-07-07 19:32:09.145100,192.168.43.77,8.8.8.8,33371,53,BENIGN
2023-07-07 19:32:09.145167,192.168.43.77,8.8.8.8,52066,53,BENIGN
